Step 1: params = [0.0001508, 0.0001568, 0.002209, 0.0249424, 0.0124302, 0.0249419, 0.0147149, -0.0007684, 0.0007921, 0.0001929]
Step 1: params = [0.0012313, 0.0010174, 0.0019367, 0.0413306, 0.0173294, 0.0413233, 0.0224195, 0.0024679, -0.0016779, -0.0009386]
Step 1: params = [0.0005847, 0.0005847, 0.0005847, 0.0187333, 0.0003945, 0.0187345, 0.0033304, 0.0, 0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0, -0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, 0.0]
Step 1: params = [0.0005847, 0.0005847, 0.0005847, 0.0187333, 0.0003945, 0.0187345, 0.0033304, 0.0, 0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 1e-07, 0.0, 1e-07, 0.0, -0.0, 0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 1e-07, 0.0, 1e-07, 0.0, 0.0, 0.0, -0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, -0.0]
Step 1: params = [0.0, 0.0, 0.0, 1e-07, 0.0, 1e-07, 1e-07, 0.0, -0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 1e-07, 0.0, 1e-07, 1e-07, -0.0, 0.0, -0.0]
Step 1: params = [0.0, 0.0, 0.0, 1e-07, 0.0, 1e-07, 1e-07, 0.0, 0.0, -0.0]
Step 1: params = [0.0, -0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0]
Step 1: params = [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.0, -0.0, 0.0]
Step 1: params = [0.0, 0.0, 0.0, 1e-07, 0.0, 1e-07, 1e-07, 0.0, 0.0, -0.0]
Step 1: params = [0.0031502, 0.0031502, 0.0031502, 0.0873347, 0.0524466, 0.0873098, 0.0549331, 0.0036741, 0.0036741, 0.0036741]
Step 1: params = [4e-07, 0.0022778, 4e-07, 0.0155858, 0.0151873, 0.0155858, 0.0151903, 8e-07, 1e-07, 3e-07]
