""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + I_13 **(1/3) + I_23,",0.0031288,0.003129,0.0029921,0.0837053,0.0557781,0.0836807,0.0577915,0.0034449,0.003436,0.0006775
"I_12 + 2 * I_13 **(1/3) + I_23,",0.0031402,0.0031407,0.0029929,0.0840099,0.0554884,0.0839851,0.0575385,0.003559,0.0035636,0.0007255
"I_12 + 3 * I_13 **(1/3) + I_23,",0.0031438,0.0031432,0.0029933,0.0840785,0.0553989,0.0840536,0.0574606,0.0035957,0.0035896,0.000753
"I_12 + 4 * I_13 **(1/3) + I_23,",0.0031427,0.0031352,0.0029932,0.0839564,0.0554973,0.0839316,0.0575465,0.0035847,0.0035099,0.0007451
"I_12 + 5 * I_13 **(1/3) + I_23,",0.0031469,0.0031385,0.0029932,0.084057,0.0554158,0.0840322,0.0574754,0.0036253,0.0035439,0.0007516
"I_12 + 6 * I_13 **(1/3) + I_23,",0.0031442,0.0031456,0.0029934,0.0841151,0.0553677,0.0840902,0.0574333,0.0036014,0.0036131,0.0007556
"I_12 + 7 * I_13 **(1/3) + I_23,",0.0031485,0.0031395,0.0029933,0.0840904,0.0553864,0.0840656,0.0574498,0.0036403,0.003555,0.000755
"I_12 + 8 * I_13 **(1/3) + I_23,",0.003148,0.0031483,0.0029935,0.0842068,0.0552912,0.0841817,0.0573673,0.0036375,0.0036424,0.000763
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + 5 * I_13 **(1/3) + I_23,",0.0031465,0.0031463,0.0029935,0.0841552,0.0553308,0.0841302,0.0574015,0.0036229,0.0036223,0.0007599
"I_12 + 5 * I_13 **(1/2) + I_23,",0.0031433,0.0031432,0.0029926,0.0842221,0.0555737,0.0841973,0.0576159,0.0035901,0.0035895,0.000551
"I_12 + 5 * I_13 **(2) + I_23,",0.0029948,0.0029946,0.0035069,0.0860451,0.0579822,0.0860272,0.0675743,-0.0005473,-0.0005438,0.0059834
"I_12 + 5 * I_13 + I_23,",0.0030524,0.0030525,0.0031075,0.0828901,0.0567722,0.0828923,0.0623809,0.0024652,0.0024669,-0.0022526
5 * I_13,0.0031501,0.0031503,0.0030845,0.0858349,0.0568493,0.0858105,0.0596738,0.0036493,0.0036505,-0.0018288
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0005847,0.0005847,0.0005847,0.0187333,0.0003945,0.0187345,0.0033304,0.0,0.0,0.0
"I_12 + 5 * I_13 **(1/3) + I_23,",0.000352,0.0003508,0.0004046,0.032401,0.007466,0.032402,0.0112614,0.0002877,-0.0001814,0.0012841
"I_12 + 5 * I_13 **(1/2) + I_23,",0.0005111,0.0005845,0.0005144,0.0235776,0.0008129,0.0235796,0.0044013,-1.6e-06,8e-07,0.0002587
"I_12 + 5 * I_13 **(2) + I_23,",0.0005846,0.0005847,0.0005846,0.0187929,0.0004247,0.0187942,0.0033662,-1.4e-06,-2.35e-05,4e-07
"I_12 + 5 * I_13 + I_23,",0.0005838,0.000584,0.0005831,0.0193416,0.0004385,0.0193429,0.0034812,-8.8e-06,5.7e-06,1.65e-05
5 * I_13,0.0005847,0.0005847,0.0005847,0.0187497,0.000407,0.018751,0.0033437,5e-07,-3e-07,9.8e-06
""
""
,h_variables:,"[1, 1, 1, 0.1, 0.1, 0.1]",,maxit:,1,,hamil:,test5
""
,I_xy,I_yz,I_xz,MPS 1,MPS 2,CP 1,CP 2,Cov_xy,Cov_yz,Cov_xz
...,0.0031502,0.0031502,0.0031502,0.0873347,0.0524466,0.0873098,0.0549331,0.0036741,0.0036741,0.0036741
"I_12 + 1 * I_13 **(1/3) + I_23,",0.0014142,0.0018907,0.001821,0.0416056,0.0162413,0.0415889,0.026426,0.0003961,-0.0024608,-0.0003456
"I_12 + 2 * I_13 **(1/3) + I_23,",0.0003025,0.00224,0.0002515,0.0288851,0.0165234,0.0288831,0.0190277,0.0001456,-0.0023375,0.0002034
"I_12 + 3 * I_13 **(1/3) + I_23,",6e-07,0.0023234,6e-07,0.0176048,0.0139028,0.0176048,0.0140054,-8.9e-06,-0.0017858,-9e-07
